Accident_Occurred,Hours_Worked,Weather_Risk_Index,Machine_Age_Years,Employee_Experience_Years,Safety_Violations,Inspection_Frequency,Job_Risk_Level,Shift_Type,Area,Employee_Age,Noise_Level_dB,Temperature_C
0,10,0.5531357998742017,19,17,9,10,1,0,0,49,63.052767719262,28.754187658419617
1,10,0.9207611469737159,3,8,5,1,3,0,0,30,76.2162491620035,19.903126766521012
0,9,0.5101818248993456,6,29,4,1,1,0,1,21,57.32387774573401,16.7417915833722
1,7,0.773202607027518,17,7,3,3,1,1,1,53,87.84505062812758,11.133169553986972
0,7,0.5385727735326302,16,13,2,4,2,0,0,57,94.20408501525752,18.61605656257878
0,6,0.11300161098522266,15,5,2,9,1,0,0,26,61.51675051840385,26.17015097337132
1,10,0.7476263460066139,6,26,3,3,2,1,0,50,80.08625112064915,20.852143628480754
0,11,0.06899620120636651,12,1,7,6,1,0,0,23,87.91123060387037,15.066210028270458
0,7,0.13071158662083493,19,24,4,7,2,0,0,49,70.75125218263604,32.22781010058053
1,6,0.1172724531624102,4,22,3,4,1,1,1,33,90.2543324079711,19.122272853866797
1,10,0.9506581913158575,13,19,2,3,3,1,1,42,67.88578171392675,13.600967036820284
1,9,0.7059153938165713,8,17,7,3,3,0,1,52,55.97902634352375,31.180924238619365
1,9,0.9255523421280206,10,10,6,7,1,0,0,31,77.7414003927495,13.596653258226803
0,8,0.41278377898506013,14,17,2,2,1,0,0,43,57.89667155577191,11.730187928924911
1,6,0.8692576899599913,1,26,3,4,1,0,1,63,93.15309493231328,39.535634706571685
1,11,0.874799429157783,14,14,4,10,2,1,1,38,57.536727707191545,11.279073755203065
0,11,0.4244049835125996,9,11,5,4,1,0,1,33,58.067088151213966,31.313030142521704
0,8,0.023501207674746283,6,29,2,9,1,0,0,27,65.39386501122166,22.75229096018107
0,10,0.362777644881239,18,8,6,8,1,0,1,29,56.11416880759587,39.98197279350498
0,10,0.263865247990965,12,4,1,11,1,0,1,45,85.36151747931913,20.948048406648162
1,7,0.16960899866773227,12,23,1,2,1,1,0,24,98.71763287830439,30.40304213782269
0,9,0.6289409796570996,9,20,7,6,1,0,0,44,52.24472736599911,26.45255696556061
0,8,0.3430924271043888,3,28,2,4,1,0,1,52,84.0995340027928,11.622127741108898
1,8,0.7296164165075768,6,21,0,4,1,1,1,61,87.84420353071752,19.689581042774478
0,7,0.5408014282310213,15,4,7,3,1,0,0,62,73.61524054199033,24.40068207458245
1,11,0.856208654825798,17,27,7,4,2,0,1,59,76.38848195446897,18.232653647345934
0,8,0.04771234083284315,12,1,5,9,2,0,0,29,58.53781881368935,37.68100548016908
1,10,0.2932328573380477,1,26,4,1,2,0,0,31,56.22466466744086,39.15427511465009
1,7,0.767350064970872,8,26,2,5,1,1,0,32,72.70385173534899,11.583464557838134
1,10,0.6962611007737131,14,22,0,7,2,1,1,46,73.05579062403609,17.003872902711606
1,10,0.9004441425079897,19,12,6,8,3,0,0,37,71.84778011679717,24.274431376574846
1,11,0.7927599529876588,15,1,6,3,2,1,1,56,80.609373678587,28.58890252345691
0,7,0.38137388659615545,15,12,1,2,1,0,1,42,66.52993434572247,33.84332925754212
0,9,0.6921181478798258,12,12,5,4,1,0,1,42,56.60771362217897,29.200001637409517
1,11,0.5676702223616618,6,21,2,9,1,1,1,41,60.526388723576694,22.799189040812173
1,7,0.2767654471281249,9,7,9,11,1,1,1,51,95.20329965586993,30.202114432640855
0,6,0.2665440341241079,11,26,6,7,1,0,0,24,91.97482687996708,23.905339989036705
1,10,0.5932413164569832,6,19,1,2,2,0,0,24,77.36867076318431,20.709895353056808
1,9,0.06205324782855204,17,7,1,5,3,0,1,27,64.10838200716694,10.251030932018265
0,9,0.08472286692465014,9,10,9,9,1,0,0,51,74.80841893056677,38.09578770680635
1,7,0.6017626433222494,16,1,1,11,2,0,0,39,99.91124589893205,24.246713759704807
0,9,0.09067797386044085,8,23,8,2,1,0,1,46,90.65983655915807,19.85015311129741
0,8,0.011566917638104468,14,16,8,7,1,0,1,29,52.14337294603465,11.68255980859492
1,10,0.9282374893695463,9,16,8,8,1,0,0,51,66.37284040398872,32.81040455590955
0,9,0.6588590069410101,12,5,8,11,2,0,1,58,69.18429815022449,11.404619796288175
0,6,0.2665108670283316,18,24,0,11,1,0,1,24,86.43062562132276,19.716033937737258
1,11,0.9132257614546928,6,1,7,11,1,0,0,18,60.32562462354869,17.629448346745008
0,6,0.7336639158664119,8,22,1,10,1,0,1,58,92.3284001987236,10.333816134005843
0,11,0.5012413095268935,8,8,1,3,2,0,0,35,91.60826397013689,17.11218218103106
1,6,0.03741571478913386,14,13,4,9,1,1,1,34,95.0400666270274,27.95506816661317
1,11,0.590099071282543,2,20,9,8,1,1,1,56,63.258014992329166,33.685706615414915
1,10,0.8016533006914799,7,19,1,2,1,0,1,53,57.075036564791,36.42491550716471
1,6,0.7534869358116102,16,15,2,6,1,1,0,46,78.01392344268112,28.47298259915393
0,10,0.0236359265263848,5,9,3,2,1,0,1,61,94.7376510092664,33.43224879259761
1,9,0.35062945557154945,8,20,3,8,1,1,0,37,75.63950629572672,22.59803178533892
0,8,0.09025515401446238,19,29,1,9,2,0,1,20,67.02394507845253,35.739481509919685
0,6,0.39240473901538697,1,15,1,1,2,0,1,28,57.18403191750486,10.309783271618354
0,9,0.543394433072754,11,15,1,4,1,0,0,23,54.93956158850107,34.85691331191863
0,11,0.3655610396530531,2,26,3,10,1,0,0,32,61.39831732867569,11.025605583023362
0,9,0.5915402165292868,19,21,8,6,1,0,0,61,54.43879602104772,18.793042815396788
0,7,0.05570607889540158,6,25,9,2,1,0,0,44,67.03615566578188,25.038285189307324
0,7,0.0693066711810788,13,13,8,5,2,0,1,24,66.22796186372103,24.460765974673663
0,6,0.6374397216791068,8,21,9,3,1,0,1,33,60.29664023456034,28.10351531737848
1,10,0.8493825571105748,17,24,0,4,3,1,1,41,62.830713339783394,36.26835766759111
0,9,0.5289029661082322,10,10,1,3,1,0,1,24,52.99567668937938,18.63387812753816
0,9,0.4178383748025154,15,8,2,10,1,0,1,24,76.7741675585651,24.334396036026824
0,11,0.7507674766463132,15,18,7,5,1,0,1,60,87.71785275554524,23.26950444279691
1,8,0.9379473832555614,5,3,6,8,1,0,1,49,93.18924135076955,11.882764585770168
1,8,0.8454161747138242,3,5,7,6,1,0,0,56,92.50092972025621,21.630367031898274
1,10,0.08630912494037479,5,6,7,8,1,1,0,38,89.28387303717098,13.310284884287485
0,6,0.4986784146092311,14,28,1,1,1,0,1,57,84.89872114409148,31.787765736963554
1,11,0.05189351271553555,12,21,4,4,1,1,0,47,55.52521577024665,27.395063326046632
0,8,0.4032714876358787,13,16,3,8,1,0,1,35,64.25060327676675,27.81814769431103
1,9,0.5727143215271009,5,10,3,8,2,1,1,36,53.62235786150599,16.7916829636209
0,9,0.13819082047392495,6,20,4,9,2,0,1,51,67.01542086572402,20.130166870436554
0,9,0.2710824644640688,1,11,1,6,2,0,0,64,70.14323278991498,15.487379254980098
1,9,0.9935969884068231,18,15,7,1,3,1,0,18,76.0117626474915,12.04759693948602
1,7,0.7389089367388898,5,24,9,7,2,1,1,45,99.73524417404155,13.087721539538547
1,9,0.5202630080342227,11,23,1,11,1,1,0,52,85.1358959768359,22.93895593536429
